Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,464626,...,839.49,831.5,15.97,15.68
Sumatera Utara,435970,...,1324.98,1291.99,9.22,8.94
Sumatera Barat,476554,...,357.13,353.24,6.65,6.55
Riau,479944,...,500.44,494.26,7.39,7.21
Jambi,426251,...,281.69,281.47,7.92,7.85
Sumatera Selatan,397150,...,1068.27,1076.4,12.8,12.82
Bengkulu,481425,...,301.81,303.55,15.43,15.41
Lampung,402307,...,1097.05,1091.6,13.14,13.01
Kepulauan Bangka Belitung,631467,...,76.26,69.93,5.25,4.77
Kepulauan Riau,559291,...,131.68,125.36,6.2,5.83
DKI Jakarta,593108,...,373.12,372.26,3.57,3.55
Jawa Barat,367755,...,3615.79,3539.4,7.45,7.25
Jawa Tengah,350875,...,3897.2,3867.42,11.32,11.19
DI Yogyakarta,409744,...,460.1,450.25,12.13,11.81
Jawa Timur,373574,...,4332.59,4292.15,10.98,10.85
Banten,431069,...,661.36,668.74,5.24,5.25
Bali,382598,...,171.76,168.34,4.01,3.91
Nusa Tenggara Barat,365901,...,737.46,735.62,14.75,14.63
Nusa Tenggara Timur,354898,...,1142.17,1134.11,21.35,21.03
Kalimantan Barat,409287,...,387.08,369.73,7.77,7.37
Kalimantan Tengah,413529,...,136.93,136.45,5.17,5.1
Kalimantan Selatan,427774,...,189.03,195.01,4.54,4.65
Kalimantan Timur,574704,...,218.9,222.39,6.03,6.06
Kalimantan Utara,586049,...,50.35,49.59,7.09,6.86
Sulawesi Utara,344418,...,193.31,189.05,7.8,7.59
Sulawesi Tengah,413785,...,420.21,413.49,14.01,13.69
Sulawesi Selatan,306545,...,792.63,779.64,9.06,8.87
Sulawesi Tenggara,303618,...,307.1,301.85,11.63,11.32
Gorontalo,316296,...,198.51,188.3,16.81,15.83
Sulawesi Barat,319121,...,151.78,152.83,11.25,11.22
Maluku,456457,...,320.08,317.84,18.12,17.85
Maluku Utara,412266,...,81.46,81.93,6.64,6.62
Papua Barat,516362,...,214.47,213.67,23.01,22.66
Papua,499463,...,917.63,915.22,27.74,27.43
Indonesia,...,...,25949.8,25674.58,25674.58,9.66
