Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,486935,...,819.44,...,15.32,...
Sumatera Utara,466122,...,1282.04,...,8.83,...
Sumatera Barat,503652,...,348.22,...,6.42,...
Riau,500612,...,490.72,...,7.08,...
Jambi,448509,...,274.32,...,7.6,...
Sumatera Selatan,410532,...,1073.74,...,12.71,...
Bengkulu,499660,...,302.3,...,15.23,...
Lampung,418309,...,1063.66,...,12.62,...
Kepulauan Bangka Belitung,677716,...,68.38,...,4.62,...
Kepulauan Riau,594059,...,128.46,...,5.9,...
DKI Jakarta,637260,...,365.55,...,3.47,...
Jawa Barat,386198,...,3399.16,...,6.91,...
Jawa Tengah,369385,...,3743.23,...,10.8,...
DI Yogyakarta,432026,...,448.47,...,11.7,...
Jawa Timur,397687,...,4112.25,...,10.37,...
Banten,462726,...,654.46,...,5.09,...
Bali,400624,...,163.85,...,3.79,...
Nusa Tenggara Barat,384880,...,735.96,...,14.56,...
Nusa Tenggara Timur,373922,...,1146.32,...,21.09,...
Kalimantan Barat,438555,...,378.41,...,7.49,...
Kalimantan Tengah,438248,...,134.59,...,4.98,...
Kalimantan Selatan,457222,...,192.48,...,4.55,...
Kalimantan Timur,609155,...,219.92,...,5.94,...
Kalimantan Utara,651416,...,48.78,...,6.63,...
Sulawesi Utara,371283,...,191.7,...,7.66,...
Sulawesi Tengah,441036,...,410.36,...,13.48,...
Sulawesi Selatan,329880,...,767.8,...,8.69,...
Sulawesi Tenggara,327402,...,302.58,...,11.24,...
Gorontalo,333070,...,186.03,...,15.52,...
Sulawesi Barat,328144,...,151.4,...,11.02,...
Maluku,508777,...,317.69,...,17.69,...
Maluku Utara,444650,...,84.6,...,6.77,...
Papua Barat,573313,...,211.5,...,22.17,...
Papua,540099,...,926.36,...,27.53,...
Indonesia,425250,...,25144.72,...,9.41,...
