Provinsi,Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,851.59,859.41,17.08,17.11
Sumatera Utara,1463.67,1508.14,10.53,10.79
Sumatera Barat,379.61,349.53,7.31,6.71
Riau,531.39,562.92,8.42,8.82
Jambi,300.71,311.56,8.86,9.12
Sumatera Selatan,1145.63,1112.53,14.25,13.77
Bengkulu,334.07,322.83,17.88,17.16
Lampung,1163.49,1100.68,14.35,13.53
Kepulauan Bangka Belitung,74.09,66.62,5.4,4.83
Kepulauan Riau,122.4,114.83,6.24,5.78
DKI Jakarta,398.92,368.67,3.93,3.61
Jawa Barat,4435.7,4485.65,9.53,9.57
Jawa Tengah,4577.04,4505.78,13.58,13.32
DI Yogyakarta,550.23,485.56,14.91,13.16
Jawa Timur,4789.12,4775.97,12.34,12.28
Banten,702.4,690.67,5.9,5.75
Bali,196.71,218.79,4.74,5.25
Nusa Tenggara Barat,823.89,802.29,17.1,16.54
Nusa Tenggara Timur,1159.84,1160.53,22.61,22.58
Kalimantan Barat,383.7,405.51,8.03,8.44
Kalimantan Tengah,147.7,148.13,5.94,5.91
Kalimantan Selatan,198.44,189.16,4.99,4.72
Kalimantan Timur,212.89,209.99,6.23,6.1
Kalimantan Utara,39.69,40.93,6.24,6.32
Sulawesi Utara,208.54,217.15,8.65,8.98
Sulawesi Tengah,421.63,406.34,14.66,14.07
Sulawesi Selatan,797.72,864.51,9.39,10.12
Sulawesi Tenggara,321.88,345.02,12.9,13.74
Gorontalo,206.84,206.51,18.32,18.16
Sulawesi Barat,160.48,153.21,12.4,11.9
Maluku,328.41,327.78,19.51,19.36
Maluku Utara,79.9,72.65,6.84,6.22
Papua Barat,225.36,225.54,25.82,25.73
Papua,859.15,898.21,28.17,28.4
Indonesia,28592.83,28513.6,11.22,11.13
