Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,435454,...,872.61,829.8,16.89,15.92
Sumatera Utara,411345,...,1453.87,1326.57,10.22,9.28
Sumatera Barat,453612,...,364.51,359.99,6.87,6.75
Riau,456493,...,514.62,496.39,7.78,7.41
Jambi,389596,...,286.55,278.61,8.19,7.9
Sumatera Selatan,370060,...,1086.92,1086.76,13.19,13.1
Bengkulu,450648,...,316.98,302.62,16.45,15.59
Lampung,384882,...,1131.73,1083.74,13.69,13.04
Kepulauan Bangka Belitung,587530,...,74.09,76.2,5.2,5.3
Kepulauan Riau,513237,...,125.37,128.43,6.06,6.13
DKI Jakarta,536546,...,389.69,393.13,3.77,3.78
Jawa Barat,344427,...,4168.44,3774.41,8.71,7.83
Jawa Tengah,333224,...,4450.72,4197.49,13.01,12.23
DI Yogyakarta,374009,...,488.53,466.33,13.02,12.36
Jawa Timur,342092,...,4617.01,4405.27,11.77,11.2
Banten,386753,...,675.04,699.83,5.45,5.59
Bali,361387,...,180.13,176.48,4.25,4.14
Nusa Tenggara Barat,345341,...,793.78,748.12,16.07,15.05
Nusa Tenggara Timur,343396,...,1150.79,1134.74,21.85,21.38
Kalimantan Barat,377219,...,387.43,388.81,7.88,7.86
Kalimantan Tengah,401537,...,139.16,137.88,5.37,5.26
Kalimantan Selatan,402424,...,193.92,194.56,4.73,4.7
Kalimantan Timur,548094,...,220.17,218.67,6.19,6.08
Kalimantan Utara,552040,...,49.47,48.56,7.22,6.96
Sulawesi Utara,333510,...,198.88,194.85,8.1,7.9
Sulawesi Tengah,391763,...,417.87,423.27,14.14,14.22
Sulawesi Selatan,283461,...,813.07,825.97,9.38,9.48
Sulawesi Tenggara,285609,...,331.71,313.16,12.81,11.97
Gorontalo,296730,...,205.37,200.91,17.65,17.14
Sulawesi Barat,302852,...,149.76,149.47,11.3,11.18
Maluku,436865,...,320.51,320.42,18.45,18.29
Maluku Utara,390998,...,76.47,78.28,6.35,6.44
Papua Barat,499778,...,228.38,212.86,25.1,23.12
Papua,457541,...,897.69,910.42,27.62,27.76
Indonesia,385621,...,27771.22,26582.99,10.12,10.12
